sentence,neg,neu,pos,compound
"Then abroad againto Rome this time, where he dallied with architecture and painting in turn, took up the violin, and wrote some ghastly Italian sonnets, supposedly the ruminations of a thirteenthcentury monk on the joys of the contemplative life.",0.0,0.92,0.08,0.4939
"It became established among his Harvard intimates that he was in Rome, and those of them who were abroad that year looked him up and discovered with him, on many moonlight excursions, much in the city that was older than the Renaissance or indeed than the republic.",0.0,1.0,0.0,0.0
"Maury Noble, from Philadelphia, for instance, remained two months, and together they realized the peculiar charm of Latin women and had a delightful sense of being very young and free in a civilization that was very old and free.",0.0,0.63,0.37,0.9533
"Not a few acquaintances of his grandfather's called on him, and had he so desired he might have been persona grata with the diplomatic setindeed, he found that his inclinations tended more and more toward conviviality, but that long adolescent aloofness and consequent shyness still dictated to his conduct.",0.058,0.905,0.037,-0.2685
"He returned to America in 1912 because of one of his grandfather's sudden illnesses, and after an excessively tiresome talk with the perpetually convalescent old man he decided to put off until his grandfather's death the idea of living permanently abroad.",0.154,0.846,0.0,-0.7964
After a prolonged search he took an apartment on Fiftysecond Street and to all appearances settled down.,0.0,1.0,0.0,0.0
In 1913 Anthony Patch's adjustment of himself to the universe was in process of consummation.,0.0,1.0,0.0,0.0
"Physically, he had improved since his undergraduate dayshe was still too thin but his shoulders had widened and his brunette face had lost the frightened look of his freshman year.",0.19,0.753,0.057,-0.6956
He was secretly orderly and in person spick and spanhis friends declared that they had never seen his hair rumpled.,0.0,0.86,0.14,0.4767
"His nose was too sharp his mouth was one of those unfortunate mirrors of mood inclined to droop perceptibly in moments of unhappiness, but his blue eyes were charming, whether alert with intelligence or half closed in an expression of melancholy humor.",0.139,0.605,0.256,0.8294
"One of those men devoid of the symmetry of feature essential to the Aryan ideal, he was yet, here and there, considered handsomemoreover, he was very clean, in appearance and in reality, with that especial cleanness borrowed from beauty.",0.0,0.779,0.221,0.8805
"THE REPROACHLESS APARTMENT Fifth and Sixth Avenues, it seemed to Anthony, were the uprights of a gigantic ladder stretching from Washington Square to Central Park.",0.0,1.0,0.0,0.0
"Coming uptown on top of a bus toward Fiftysecond Street invariably gave him the sensation of hoisting himself hand by hand on a series of treacherous rungs, and when the bus jolted to a stop at his own rung he found something akin to relief as he descended the reckless metal steps to the sidewalk.",0.079,0.74,0.182,0.7506
"After that, he had but to walk down Fiftysecond Street half a block, pass a stodgy family of brownstone housesand then in a jiffy he was under the high ceilings of his great front room.",0.097,0.759,0.143,0.4215
This was entirely satisfactory.,0.0,0.518,0.482,0.4201
"Here, after all, life began.",0.0,1.0,0.0,0.0
"Here he slept, breakfasted, read, and entertained.",0.0,0.69,0.31,0.4019
"The house itself was of murky material, built in the late nineties in response to the steadily growing need of small apartments each floor had been thoroughly remodelled and rented individually.",0.0,0.946,0.054,0.1779
"Of the four apartments Anthony's, on the second floor, was the most desirable.",0.0,0.822,0.178,0.3804
The front room had fine high ceilings and three large windows that loomed down pleasantly upon Fiftysecond Street.,0.095,0.682,0.223,0.4215
"In its appointments it escaped by a safe margin being of any particular period it escaped stiffness, stuffiness, bareness, and decadence.",0.0,0.868,0.132,0.4404
It smelt neither of smoke nor of incenseit was tall and faintly blue.,0.0,1.0,0.0,0.0
There was a deep lounge of the softest brown leather with somnolence drifting about it like a haze.,0.0,0.857,0.143,0.3612
There was a high screen of Chinese lacquer chiefly concerned with geometrical fishermen and huntsmen in black and gold this made a corner alcove for a voluminous chair guarded by an orangecolored standing lamp.,0.0,1.0,0.0,0.0
Deep in the fireplace a quartered shield was burned to a murky black.,0.0,1.0,0.0,0.0
"Passing through the diningroom, which, as Anthony took only breakfast at home, was merely a magnificent potentiality, and down a comparatively long hall, one came to the heart and core of the apartmentAnthony's bedroom and bath.",0.0,0.894,0.106,0.5994
Both of them were immense.,0.0,1.0,0.0,0.0
Under the ceilings of the former even the great canopied bed seemed of only average size.,0.0,0.785,0.215,0.6249
On the floor an exotic rug of crimson velvet was soft as fleece on his bare feet.,0.0,1.0,0.0,0.0
"His bathroom, in contrast to the rather portentous character of his bedroom, was gay, bright, extremely habitable and even faintly facetious.",0.0,0.873,0.127,0.4404
"Framed around the walls were photographs of four celebrated thespian beauties of the day Julia Sanderson as ""The Sunshine Girl,"" Ina Claire as ""The Quaker Girl,"" Billie Burke as ""The MindthePaint Girl,"" and Hazel Dawn as ""The Pink Lady.""",0.0,0.778,0.222,0.8834
"Between Billie Burke and Hazel Dawn hung a print representing a great stretch of snow presided over by a cold and formidable sunthis, claimed Anthony, symbolized the cold shower.",0.0,0.859,0.141,0.6249
"The bathtub, equipped with an ingenious bookholder, was low and large.",0.174,0.826,0.0,-0.2732
Beside it a wall wardrobe bulged with sufficient linen for three men and with a generation of neckties.,0.0,1.0,0.0,0.0
"There was no skimpy glorified towel of a carpetinstead, a rich rug, like the one in his bedroom a miracle of softness, that seemed almost to massage the wet foot emerging from the tub.... All in all a room to conjure withit was easy to see that Anthony dressed there, arranged his immaculate hair there, in fact did everything but sleep and eat there.",0.024,0.816,0.159,0.7876
"It was his pride, this bathroom.",0.0,0.676,0.324,0.34
"He felt that if he had a love he would have hung her picture just facing the tub so that, lost in the soothing steamings of the hot water, he might lie and look up at her and muse warmly and sensuously on her beauty.",0.047,0.715,0.238,0.8865
"NOR DOES HE SPIN The apartment was kept clean by an English servant with the singularly, almost theatrically, appropriate name of Bounds, whose technic was marred only by the fact that he wore a soft collar.",0.0,0.926,0.074,0.4019
"Had he been entirely Anthony's Bounds this defect would have been summarily remedied, but he was also the Bounds of two other gentlemen in the neighborhood.",0.07,0.93,0.0,-0.2204
From eight until eleven in the morning he was entirely Anthony's.,0.0,1.0,0.0,0.0
He arrived with the mail and cooked breakfast.,0.0,1.0,0.0,0.0
"At ninethirty he pulled the edge of Anthony's blanket and spoke a few terse wordsAnthony never remembered clearly what they were and rather suspected they were deprecative then he served breakfast on a cardtable in the front room, made the bed and, after asking with some hostility if there was anything else, withdrew.",0.138,0.862,0.0,-0.7689
"In the mornings, at least once a week, Anthony went to see his broker.",0.0,1.0,0.0,0.0
"His income was slightly under seven thousand a year, the interest on money inherited from his mother.",0.0,0.833,0.167,0.4588
"His grandfather, who had never allowed his own son to graduate from a very liberal allowance, judged that this sum was sufficient for young Anthony's needs.",0.0,1.0,0.0,0.0
"Every Christmas he sent him a fivehundreddollar bond, which Anthony usually sold, if possible, as he was always a little, not very, hard up.",0.0,0.944,0.056,0.0642
"The visits to his broker varied from semisocial chats to discussions of the safety of eight per cent investments, and Anthony always enjoyed them.",0.0,0.783,0.217,0.7269
The big trust company building seemed to link him definitely to the great fortunes whose solidarity he respected and to assure him that he was adequately chaperoned by the hierarchy of finance.,0.0,0.594,0.406,0.9501
"From these hurried men he derived the same sense of safety that he had in contemplating his grandfather's moneyeven more, for the latter appeared, vaguely, a demand loan made by the world to Adam Patch's own moral righteousness, while this money downtown seemed rather to have been grasped and held by sheer indomitable strengths and tremendous feats of will in addition, it seemed more definitely and explicitlymoney.",0.021,0.861,0.118,0.7902
"Closely as Anthony trod on the heels of his income, he considered it to be enough.",0.0,1.0,0.0,0.0
"Some golden day, of course, he would have many millions meanwhile he possessed a raison d'etre in the theoretical creation of essays on the popes of the Renaissance.",0.0,0.925,0.075,0.2732
This flashes back to the conversation with his grandfather immediately upon his return from Rome.,0.0,1.0,0.0,0.0
"He had hoped to find his grandfather dead, but had learned by telephoning from the pier that Adam Patch was comparatively well againthe next day he had concealed his disappointment and gone out to Tarrytown.",0.167,0.729,0.105,-0.5647
"Five miles from the station his taxicab entered an elaborately groomed drive that threaded a veritable maze of walls and wire fences guarding the estatethis, said the public, was because it was definitely known that if the Socialists had their way, one of the first men they'd assassinate would be old Cross Patch.",0.0,0.95,0.05,0.4019
"Anthony was late and the venerable philanthropist was awaiting him in a glasswalled sun parlor, where he was glancing through the morning papers for the second time.",0.0,1.0,0.0,0.0
"His secretary, Edward Shuttleworthwho before his regeneration had been gambler, saloonkeeper, and general reprobateushered Anthony into the room, exhibiting his redeemer and benefactor as though he were displaying a treasure of immense value.",0.0,0.867,0.133,0.5574
They shook hands gravely.,0.661,0.339,0.0,-0.4404
"""I'm awfully glad to hear you're better,"" Anthony said.",0.0,0.708,0.292,0.5095
"The senior Patch, with an air of having seen his grandson only last week, pulled out his watch.",0.0,1.0,0.0,0.0
"""Train late?""",0.0,1.0,0.0,0.0
he asked mildly.,0.0,1.0,0.0,0.0
It had irritated him to wait for Anthony.,0.3,0.7,0.0,-0.4588
"He was under the delusion not only that in his youth he had handled his practical affairs with the utmost scrupulousness, even to keeping every engagement on the dot, but also that this was the direct and primary cause of his success.",0.0,0.85,0.15,0.7935
"""It's been late a good deal this month,"" he remarked with a shade of meek accusation in his voiceand then after a long sigh, ""Sit down.""",0.077,0.769,0.154,0.25
Anthony surveyed his grandfather with that tacit amazement which always attended the sight.,0.0,0.774,0.226,0.5423
"That this feeble, unintelligent old man was possessed of such power that, yellow journals to the contrary, the men in the republic whose souls he could not have bought directly or indirectly would scarcely have populated White Plains, seemed as impossible to believe as that he had once been a pinkandwhite baby.",0.096,0.904,0.0,-0.6369
"The span of his seventyfive years had acted as a magic bellowsthe first quartercentury had blown him full with life, and the last had sucked it all back.",0.103,0.897,0.0,-0.4588
It had sucked in the cheeks and the chest and the girth of arm and leg.,0.167,0.833,0.0,-0.4588
"It had tyrannously demanded his teeth, one by one, suspended his small eyes in darkbluish sacks, tweeked out his hairs, changed him from gray to white in some places, from pink to yellow in otherscallously transposing his colors like a child trying over a paintbox.",0.105,0.842,0.053,-0.3612
Then through his body and his soul it had attacked his brain.,0.214,0.786,0.0,-0.4588
It had sent him nightsweats and tears and unfounded dreads.,0.35,0.65,0.0,-0.5106
It had split his intense normality into credulity and suspicion.,0.218,0.672,0.109,-0.3182
"Out of the coarse material of his enthusiasm it had cut dozens of meek but petulant obsessions his energy was shrunk to the bad temper of a spoiled child, and for his will to power was substituted a fatuous puerile desire for a land of harps and canticles on earth.",0.204,0.661,0.135,-0.6369
"The amenities having been gingerly touched upon, Anthony felt that he was expected to outline his intentionsand simultaneously a glimmer in the old man's eye warned him against broaching, for the present, his desire to live abroad.",0.054,0.876,0.07,0.1531
He wished that Shuttleworth would have tact enough to leave the roomhe detested Shuttleworthbut the secretary had settled blandly in a rocker and was dividing between the two Patches the glances of his faded eyes.,0.035,0.965,0.0,-0.0516
"""Now that you're here you ought to do something,"" said his grandfather softly, ""accomplish something.""",0.0,0.833,0.167,0.4215
"Anthony waited for him to speak of ""leaving something done when you pass on.""",0.0,1.0,0.0,0.0
"Then he made a suggestion ""I thoughtit seemed to me that perhaps I'm best qualified to write"" Adam Patch winced, visualizing a family poet with a long hair and three mistresses.",0.0,0.865,0.135,0.6369
"""history,"" finished Anthony.",0.0,1.0,0.0,0.0
"""History?",0.0,1.0,0.0,0.0
History of what?,0.0,1.0,0.0,0.0
The Civil War?,0.661,0.339,0.0,-0.5994
"The Revolution?""",0.0,1.0,0.0,0.0
"""Whyno, sir.",0.0,1.0,0.0,0.0
"A history of the Middle Ages.""",0.0,1.0,0.0,0.0
"Simultaneously an idea was born for a history of the Renaissance popes, written from some novel angle.",0.0,0.867,0.133,0.3182
"Still, he was glad he had said ""Middle Ages.""",0.0,0.727,0.273,0.4588
"""Middle Ages?",0.0,1.0,0.0,0.0
Why not your own country?,0.0,1.0,0.0,0.0
"Something you know about?""",0.0,1.0,0.0,0.0
"""Well, you see I've lived so much abroad"" ""Why you should write about the Middle Ages, I don't know.",0.0,1.0,0.0,0.0
"Dark Ages, we used to call 'em.",0.0,1.0,0.0,0.0
"Nobody knows what happened, and nobody cares, except that they're over now.""",0.0,0.786,0.214,0.4588
"He continued for some minutes on the uselessness of such information, touching, naturally, on the Spanish Inquisition and the ""corruption of the monasteries.""",0.186,0.814,0.0,-0.5859
"Then ""Do you think you'll be able to do any work in New Yorkor do you really intend to work at all?""",0.0,1.0,0.0,0.0
"This last with soft, almost imperceptible, cynicism.",0.288,0.712,0.0,-0.3446
"""Why, yes, I do, sir.""",0.0,0.526,0.474,0.4019
"""When'll you be done?""",0.0,1.0,0.0,0.0
"""Well, there'll be an outline, you seeand a lot of preliminary reading.""",0.0,1.0,0.0,0.0
"""I should think you'd have done enough of that already.""",0.0,1.0,0.0,0.0
"The conversation worked itself jerkily toward a rather abrupt conclusion, when Anthony rose, looked at his watch, and remarked that he had an engagement with his broker that afternoon.",0.0,0.9,0.1,0.4588
"He had intended to stay a few days with his grandfather, but he was tired and irritated from a rough crossing, and quite unwilling to stand a subtle and sanctimonious browbeating.",0.232,0.768,0.0,-0.8338
"He would come out again in a few days, he said.",0.0,1.0,0.0,0.0
"Nevertheless, it was due to this encounter that work had come into his life as a permanent idea.",0.0,1.0,0.0,0.0
"During the year that had passed since then, he had made several lists of authorities, he had even experimented with chapter titles and the division of his work into periods, but not one line of actual writing existed at present, or seemed likely ever to exist.",0.0,1.0,0.0,0.0
"He did nothingand contrary to the most accredited copybook logic, he managed to divert himself with more than average content.",0.0,1.0,0.0,0.0
"AFTERNOON It was October in 1913, midway in a week of pleasant days, with the sunshine loitering in the crossstreets and the atmosphere so languid as to seem weighted with ghostly falling leaves.",0.043,0.782,0.175,0.7096
"It was pleasant to sit lazily by the open window finishing a chapter of ""Erewhon.""",0.0,0.798,0.202,0.5106
"It was pleasant to yawn about five, toss the book on a table, and saunter humming along the hall to his bath.",0.0,0.858,0.142,0.5106
"""To ... you ... beautiful lady,"" he was singing as he turned on the tap.",0.0,0.782,0.218,0.5994
"""I raise ... my ... eyes To ... you ... beautiful laady My ... heart ... cries"" He raised his voice to compete with the flood of water pouring into the tub, and as he looked at the picture of Hazel Dawn upon the wall he put an imaginary violin to his shoulder and softly caressed it with a phantom bow.",0.042,0.898,0.06,0.296
"Through his closed lips he made a humming noise, which he vaguely imagined resembled the sound of a violin.",0.0,1.0,0.0,0.0
"After a moment his hands ceased their gyrations and wandered to his shirt, which he began to unfasten.",0.0,1.0,0.0,0.0
"Stripped, and adopting an athletic posture like the tigerskin man in the advertisement, he regarded himself with some satisfaction in the mirror, breaking off to dabble a tentative foot in the tub.",0.0,0.843,0.157,0.6597
"Readjusting a faucet and indulging in a few preliminary grunts, he slid in.",0.0,1.0,0.0,0.0
Once accustomed to the temperature of the water he relaxed into a state of drowsy content.,0.0,0.814,0.186,0.4939
"When he finished his bath he would dress leisurely and walk down Fifth Avenue to the Ritz, where he had an appointment for dinner with his two most frequent companions, Dick Caramel and Maury Noble.",0.09,0.834,0.076,-0.144
"Afterward he and Maury were going to the theatreCaramel would probably trot home and work on his book, which ought to be finished pretty soon.",0.0,0.882,0.118,0.4939
Anthony was glad he wasn't going to work on his book.,0.0,0.769,0.231,0.4588
"The notion of sitting down and conjuring up, not only words in which to clothe thoughts but thoughts worthy of being clothedthe whole thing was absurdly beyond his desires.",0.0,0.879,0.121,0.5927
Emerging from his bath he polished himself with the meticulous attention of a bootblack.,0.0,1.0,0.0,0.0
"Then he wandered into the bedroom, and whistling the while a weird, uncertain melody, strolled here and there buttoning, adjusting, and enjoying the warmth of the thick carpet on his feet.",0.107,0.716,0.176,0.5423
"He lit a cigarette, tossed the match out the open top of the window, then paused in his tracks with the cigarette two inches from his mouthwhich fell faintly ajar.",0.0,0.94,0.06,0.2023
His eyes were focussed upon a spot of brilliant color on the roof of a house farther down the alley.,0.0,0.817,0.183,0.5859
"It was a girl in a red neglig, silk surely, drying her hair by the still hot sun of late afternoon.",0.0,0.861,0.139,0.4404
His whistle died upon the stiff air of the room he walked cautiously another step nearer the window with a sudden impression that she was beautiful.,0.115,0.701,0.185,0.296
"Sitting on the stone parapet beside her was a cushion the same color as her garment and she was leaning both arms upon it as she looked down into the sunny areaway, where Anthony could hear children playing.",0.0,0.884,0.116,0.5574
He watched her for several minutes.,0.0,1.0,0.0,0.0
"Something was stirred in him, something not accounted for by the warm smell of the afternoon or the triumphant vividness of red.",0.0,0.791,0.209,0.6486
"He felt persistently that the girl was beautifulthen of a sudden he understood it was her distance, not a rare and precious distance of soul but still distance, if only in terrestrial yards.",0.062,0.938,0.0,-0.2498
"The autumn air was between them, and the roofs and the blurred voices.",0.0,1.0,0.0,0.0
"Yet for a not altogether explained second, posing perversely in time, his emotion had been nearer to adoration than in the deepest kiss he had ever known.",0.097,0.699,0.204,0.5423
"He finished his dressing, found a black bow tie and adjusted it carefully by the threesided mirror in the bathroom.",0.0,0.923,0.077,0.128
Then yielding to an impulse he walked quickly into the bedroom and again looked out the window.,0.0,1.0,0.0,0.0
The woman was standing up now she had tossed her hair back and he had a full view of her.,0.0,1.0,0.0,0.0
"She was fat, full thirtyfive, utterly undistinguished.",0.0,1.0,0.0,0.0
Making a clicking noise with his mouth he returned to the bathroom and reparted his hair.,0.0,1.0,0.0,0.0
"""To ... you ... beautiful lady,"" he sang lightly, ""I raise ... my ... eyes"" Then with a last soothing brush that left an iridescent surface of sheer gloss he left his bathroom and his apartment and walked down Fifth Avenue to the RitzCarlton.",0.0,0.869,0.131,0.7351
THREE MEN At seven Anthony and his friend Maury Noble are sitting at a corner table on the cool roof.,0.0,0.653,0.347,0.8176
Maury Noble is like nothing so much as a large slender and imposing cat.,0.083,0.592,0.325,0.6249
"His eyes are narrow and full of incessant, protracted blinks.",0.0,1.0,0.0,0.0
"His hair is smooth and flat, as though it has been licked by a possibleand, if so, Herculeanmothercat.",0.0,1.0,0.0,0.0
"During Anthony's time at Harvard he had been considered the most unique figure in his class, the most brilliant, the most originalsmart, quiet and among the saved.",0.0,0.784,0.216,0.7841
This is the man whom Anthony considers his best friend.,0.0,0.519,0.481,0.8126
"This is the only man of all his acquaintance whom he admires and, to a bigger extent than he likes to admit to himself, envies.",0.062,0.692,0.246,0.6486
They are glad to see each other nowtheir eyes are full of kindness as each feels the full effect of novelty after a short separation.,0.0,0.786,0.214,0.7184
"They are drawing a relaxation from each other's presence, a new serenity Maury Noble behind that fine and absurdly catlike face is all but purring.",0.0,0.781,0.219,0.5574
"And Anthony, nervous as a willo'thewisp, restlesshe is at rest now.",0.189,0.811,0.0,-0.2732
They are engaged in one of those easy shortspeech conversations that only men under thirty or men under great stress indulge in.,0.092,0.59,0.318,0.7845
ANTHONY Seven o'clock.,0.0,1.0,0.0,0.0
Where's the Caramel?,0.0,1.0,0.0,0.0
Impatiently.,1.0,0.0,0.0,-0.4019
I wish he'd finish that interminable novel.,0.0,0.444,0.556,0.6124
I've spent more time hungry MAURY He's got a new name for it.,0.0,1.0,0.0,0.0
"""The Demon Lover ""not bad, eh?",0.0,0.376,0.624,0.7684
"ANTHONY interested ""The Demon Lover""?",0.0,0.597,0.403,0.4019
"Oh ""woman wailing""Nonot a bit bad!",0.487,0.513,0.0,-0.5848
Not bad at alld'you think?,0.0,0.584,0.416,0.431
MAURY Rather good.,0.0,0.408,0.592,0.4404
What time did you say?,0.0,1.0,0.0,0.0
ANTHONY Seven.,0.0,1.0,0.0,0.0
"MAURYHis eyes narrowingnot unpleasantly, but to express a faint disapproval Drove me crazy the other day.",0.181,0.819,0.0,-0.4767
ANTHONY How?,0.0,1.0,0.0,0.0
MAURY That habit of taking notes.,0.0,1.0,0.0,0.0
"ANTHONY Me, too.",0.0,1.0,0.0,0.0
