sentence,neg,neu,pos,compound
"NoGatsby turned out all right at the end it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and shortwinded elations of men.",0.059,0.813,0.129,0.4767
"My family have been prominent, welltodo people in this Middle Western city for three generations.",0.0,0.859,0.141,0.3182
"The Carraways are something of a clan, and we have a tradition that we're descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather's brother, who came here in fiftyone, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.",0.095,0.905,0.0,-0.7469
"I never saw this greatuncle, but I'm supposed to look like himwith special reference to the rather hardboiled painting that hangs in father's office.",0.0,0.755,0.245,0.7783
"I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.",0.171,0.708,0.121,-0.1779
I enjoyed the counterraid so thoroughly that I came back restless.,0.169,0.565,0.266,0.296
"Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universeso I decided to go East and learn the bond business.",0.0,0.864,0.136,0.5267
"Everybody I knew was in the bond business, so I supposed it could support one more single man.",0.0,0.847,0.153,0.4019
"All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, ""Whyyees,"" with very grave, hesitant faces.",0.177,0.823,0.0,-0.6335
"Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twentytwo.",0.0,0.9,0.1,0.2732
"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.",0.0,0.734,0.266,0.9481
"He found the house, a weatherbeaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.",0.085,0.915,0.0,-0.3612
"I had a dogat least I had him for a few days until he ran awayand an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.",0.0,0.909,0.091,0.5267
"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.",0.18,0.82,0.0,-0.5267
"""How do you get to West Egg village?""",0.0,1.0,0.0,0.0
he asked helplessly.,0.545,0.455,0.0,-0.34
I told him.,0.0,1.0,0.0,0.0
And as I walked on I was lonely no longer.,0.439,0.561,0.0,-0.5719
"I was a guide, a pathfinder, an original settler.",0.0,0.685,0.315,0.3182
He had casually conferred on me the freedom of the neighbourhood.,0.0,0.604,0.396,0.7096
"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.",0.0,0.776,0.224,0.8505
"There was so much to read, for one thing, and so much fine health to be pulled down out of the young breathgiving air.",0.0,0.917,0.083,0.2682
"I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.",0.0,0.783,0.217,0.8402
And I had the high intention of reading many other books besides.,0.0,1.0,0.0,0.0
"I was rather literary in collegeone year I wrote a series of very solemn and obvious editorials for the Yale Newsand now I was going to bring back all such things into my life and become again that most limited of all specialists, the ""wellrounded man.""",0.086,0.914,0.0,-0.4188
"This isn't just an epigramlife is much more successfully looked at from a single window, after all.",0.0,0.811,0.189,0.5413
It was a matter of chance that I should have rented a house in one of the strangest communities in North America.,0.0,0.846,0.154,0.2732
"It was on that slender riotous island which extends itself due east of New Yorkand where there are, among other natural curiosities, two unusual formations of land.",0.0,0.862,0.138,0.4588
"Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound.",0.0,0.852,0.148,0.765
"They are not perfect ovalslike the egg in the Columbus story, they are both crushed flat at the contact endbut their physical resemblance must be a source of perpetual wonder to the gulls that fly overhead.",0.149,0.851,0.0,-0.7002
To the wingless a more interesting phenomenon is their dissimilarity in every particular except shape and size.,0.0,0.834,0.166,0.4576
"I lived at West Egg, thewell, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them.",0.074,0.833,0.094,0.1604
"My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season.",0.0,0.927,0.073,0.3182
"The one on my right was a colossal affair by any standardit was a factual imitation of some Htel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden.",0.0,1.0,0.0,0.0
It was Gatsby's mansion.,0.0,1.0,0.0,0.0
"Or, rather, as I didn't know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name.",0.0,1.0,0.0,0.0
"My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour's lawn, and the consoling proximity of millionairesall for eighty dollars a month.",0.03,0.97,0.0,-0.0387
"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans.",0.0,0.933,0.067,0.3612
"Daisy was my second cousin once removed, and I'd known Tom in college.",0.0,1.0,0.0,0.0
And just after the war I spent two days with them in Chicago.,0.262,0.738,0.0,-0.5994
"Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Havena national figure in a way, one of those men who reach such an acute limited excellence at twentyone that everything afterward savours of anticlimax.",0.037,0.756,0.207,0.8313
"His family were enormously wealthyeven in college his freedom with money was a matter for reproachbut now he'd left Chicago and come East in a fashion that rather took your breath away for instance, he'd brought down a string of polo ponies from Lake Forest.",0.0,0.883,0.117,0.6486
It was hard to realize that a man in my own generation was wealthy enough to do that.,0.074,0.794,0.132,0.2732
Why they came East I don't know.,0.0,1.0,0.0,0.0
"They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together.",0.073,0.728,0.199,0.5859
"This was a permanent move, said Daisy over the telephone, but I didn't believe itI had no sight into Daisy's heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game.",0.069,0.931,0.0,-0.4215
And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.,0.0,0.815,0.185,0.6124
"Their house was even more elaborate than I expected, a cheerful redandwhite Georgian Colonial mansion, overlooking the bay.",0.0,0.811,0.189,0.5423
"The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardensfinally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",0.0,0.909,0.091,0.5106
"The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.",0.076,0.878,0.046,-0.296
He had changed since his New Haven years.,0.0,1.0,0.0,0.0
"Now he was a sturdy strawhaired man of thirty, with a rather hard mouth and a supercilious manner.",0.091,0.909,0.0,-0.1027
Two shining arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward.,0.226,0.7,0.074,-0.5719
"Not even the effeminate swank of his riding clothes could hide the enormous power of that bodyhe seemed to fill those glistening boots until he strained the top lacing, and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.",0.084,0.803,0.113,0.3612
It was a body capable of enormous leveragea cruel body.,0.284,0.522,0.194,-0.296
"His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed.",0.0,0.872,0.128,0.2263
"There was a touch of paternal contempt in it, even toward people he likedand there were men at New Haven who had hated his guts.",0.267,0.733,0.0,-0.8402
"""Now, don't think my opinion on these matters is final,"" he seemed to say, ""just because I'm stronger and more of a man than you are.""",0.0,0.861,0.139,0.4019
"We were in the same senior society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own.",0.112,0.721,0.167,0.34
We talked for a few minutes on the sunny porch.,0.0,0.741,0.259,0.4215
"""I've got a nice place here,"" he said, his eyes flashing about restlessly.",0.158,0.658,0.184,0.1027
"Turning me around by one arm, he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep, pungent roses, and a snubnosed motorboat that bumped the tide offshore.",0.0,0.916,0.084,0.4939
"""It belonged to Demaine, the oil man.""",0.0,1.0,0.0,0.0
"He turned me around again, politely and abruptly.",0.0,1.0,0.0,0.0
"""We'll go inside.""",0.0,1.0,0.0,0.0
"We walked through a high hallway into a bright rosycoloured space, fragilely bound into the house by French windows at either end.",0.0,0.868,0.132,0.4404
The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.,0.0,0.897,0.103,0.3182
"A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted weddingcake of the ceiling, and then rippled over the winecoloured rug, making a shadow on it as wind does on the sea.",0.0,0.946,0.054,0.3612
The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon.,0.0,1.0,0.0,0.0
"They were both in white, and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house.",0.0,1.0,0.0,0.0
I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall.,0.0,1.0,0.0,0.0
"Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room, and the curtains and the rugs and the two young women ballooned slowly to the floor.",0.093,0.907,0.0,-0.5574
The younger of the two was a stranger to me.,0.0,1.0,0.0,0.0
"She was extended full length at her end of the divan, completely motionless, and with her chin raised a little, as if she were balancing something on it which was quite likely to fall.",0.0,1.0,0.0,0.0
"If she saw me out of the corner of her eyes she gave no hint of itindeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.",0.139,0.78,0.081,-0.4576
"The other girl, Daisy, made an attempt to riseshe leaned slightly forward with a conscientious expressionthen she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.",0.0,0.673,0.327,0.9202
"""I'm pparalysed with happiness.""",0.0,1.0,0.0,0.0
"She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see.",0.051,0.742,0.206,0.7717
That was a way she had.,0.0,1.0,0.0,0.0
She hinted in a murmur that the surname of the balancing girl was Baker.,0.0,1.0,0.0,0.0
I've heard it said that Daisy's murmur was only to make people lean toward her an irrelevant criticism that made it no less charming.,0.172,0.709,0.118,-0.1513
"At any rate, Miss Baker's lips fluttered, she nodded at me almost imperceptibly, and then quickly tipped her head back againthe object she was balancing had obviously tottered a little and given her something of a fright.",0.113,0.887,0.0,-0.4939
Again a sort of apology arose to my lips.,0.135,0.865,0.0,-0.024
Almost any exhibition of complete selfsufficiency draws a stunned tribute from me.,0.123,0.877,0.0,-0.1027
"I looked back at my cousin, who began to ask me questions in her low, thrilling voice.",0.109,0.729,0.161,0.25
"It was the kind of voice that the ear follows up and down, as if each speech is an arrangement of notes that will never be played again.",0.07,0.93,0.0,-0.2584
"Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth, but there was an excitement in her voice that men who had cared for her found difficult to forget a singing compulsion, a whispered ""Listen,"" a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour.",0.087,0.57,0.342,0.9696
"I told her how I had stopped off in Chicago for a day on my way East, and how a dozen people had sent their love through me.",0.068,0.783,0.149,0.5106
"""Do they miss me?""",0.348,0.652,0.0,-0.1531
she cried ecstatically.,0.351,0.135,0.514,0.296
"""The whole town is desolate.",0.0,1.0,0.0,0.0
"All the cars have the left rear wheel painted black as a mourning wreath, and there's a persistent wail all night along the north shore.""",0.116,0.884,0.0,-0.4404
"""How gorgeous!",0.0,0.189,0.811,0.6476
"Let's go back, Tom.",0.0,1.0,0.0,0.0
"Tomorrow!""",0.0,1.0,0.0,0.0
"Then she added irrelevantly ""You ought to see the baby.""",0.0,1.0,0.0,0.0
"""I'd like to.""",0.0,0.444,0.556,0.3612
"""She's asleep.",0.0,1.0,0.0,0.0
She's three years old.,0.0,1.0,0.0,0.0
"Haven't you ever seen her?""",0.0,1.0,0.0,0.0
"""Never.""",0.0,1.0,0.0,0.0
"""Well, you ought to see her.",0.0,1.0,0.0,0.0
"She's"" Tom Buchanan, who had been hovering restlessly about the room, stopped and rested his hand on my shoulder.",0.183,0.681,0.136,-0.0258
"""What you doing, Nick?""",0.0,1.0,0.0,0.0
"""I'm a bond man.""",0.0,1.0,0.0,0.0
"""Who with?""",0.0,1.0,0.0,0.0
I told him.,0.0,1.0,0.0,0.0
"""Never heard of them,"" he remarked decisively.",0.0,1.0,0.0,0.0
This annoyed me.,0.565,0.435,0.0,-0.3818
"""You will,"" I answered shortly.",0.0,1.0,0.0,0.0
"""You will if you stay in the East.""",0.0,1.0,0.0,0.0
"""Oh, I'll stay in the East, don't you worry,"" he said, glancing at Daisy and then back at me, as if he were alert for something more.",0.0,0.922,0.078,0.296
"""I'd be a God damned fool to live anywhere else.""",0.404,0.441,0.154,-0.5267
"At this point Miss Baker said ""Absolutely!""",0.24,0.76,0.0,-0.2244
with such suddenness that I startedit was the first word she had uttered since I came into the room.,0.0,1.0,0.0,0.0
"Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room.",0.0,0.927,0.073,0.2263
"""I'm stiff,"" she complained, ""I've been lying on that sofa for as long as I can remember.""",0.303,0.697,0.0,-0.7269
"""Don't look at me,"" Daisy retorted, ""I've been trying to get you to New York all afternoon.""",0.0,1.0,0.0,0.0
"""No, thanks,"" said Miss Baker to the four cocktails just in from the pantry.",0.11,0.89,0.0,-0.1531
"""I'm absolutely in training.""",0.0,1.0,0.0,0.0
Her host looked at her incredulously.,0.0,1.0,0.0,0.0
"""You are!""",0.0,1.0,0.0,0.0
He took down his drink as if it were a drop in the bottom of a glass.,0.13,0.87,0.0,-0.2732
"""How you ever get anything done is beyond me.""",0.0,1.0,0.0,0.0
"I looked at Miss Baker, wondering what it was she ""got done.""",0.138,0.862,0.0,-0.1531
I enjoyed looking at her.,0.0,0.476,0.524,0.5106
"She was a slender, smallbreasted girl, with an erect carriage, which she accentuated by throwing her body backward at the shoulders like a young cadet.",0.0,0.898,0.102,0.3612
"Her grey sunstrained eyes looked back at me with polite reciprocal curiosity out of a wan, charming, discontented face.",0.123,0.658,0.219,0.296
"It occurred to me now that I had seen her, or a picture of her, somewhere before.",0.0,1.0,0.0,0.0
"""You live in West Egg,"" she remarked contemptuously.",0.327,0.673,0.0,-0.5267
"""I know somebody there.""",0.0,1.0,0.0,0.0
"""I don't know a single"" ""You must know Gatsby.""",0.0,1.0,0.0,0.0
"""Gatsby?""",0.0,1.0,0.0,0.0
demanded Daisy.,0.655,0.345,0.0,-0.2263
"""What Gatsby?""",0.0,1.0,0.0,0.0
"Before I could reply that he was my neighbour dinner was announced wedging his tense arm imperatively under mine, Tom Buchanan compelled me from the room as though he were moving a checker to another square.",0.067,0.899,0.034,-0.296
"Slenderly, languidly, their hands set lightly on their hips, the two young women preceded us out on to a rosycoloured porch, open toward the sunset, where four candles flickered on the table in the diminished wind.",0.0,1.0,0.0,0.0
"""Why candles?""",0.0,1.0,0.0,0.0
"objected Daisy, frowning.",0.545,0.455,0.0,-0.34
She snapped them out with her fingers.,0.0,1.0,0.0,0.0
"""In two weeks it'll be the longest day in the year.""",0.0,1.0,0.0,0.0
She looked at us all radiantly.,0.0,0.685,0.315,0.3182
"""Do you always watch for the longest day of the year and then miss it?",0.103,0.897,0.0,-0.1531
"I always watch for the longest day in the year and then miss it.""",0.118,0.882,0.0,-0.1531
"""We ought to plan something,"" yawned Miss Baker, sitting down at the table as if she were getting into bed.",0.078,0.922,0.0,-0.1531
"""All right,"" said Daisy.",0.0,1.0,0.0,0.0
"""What'll we plan?""",0.0,1.0,0.0,0.0
"She turned to me helplessly ""What do people plan?""",0.231,0.769,0.0,-0.34
Before I could answer her eyes fastened with an awed expression on her little finger.,0.0,1.0,0.0,0.0
"""Look!""",0.0,1.0,0.0,0.0
"she complained ""I hurt it.""",0.67,0.33,0.0,-0.7269
We all lookedthe knuckle was black and blue.,0.0,1.0,0.0,0.0
"""You did it, Tom,"" she said accusingly.",0.0,1.0,0.0,0.0
"""I know you didn't mean to, but you did do it.",0.0,1.0,0.0,0.0
"That's what I get for marrying a brute of a man, a great, big, hulking physical specimen of a"" ""I hate that word 'hulking,' "" objected Tom crossly, ""even in kidding.""",0.116,0.755,0.129,0.1027
"""Hulking,"" insisted Daisy.",0.0,1.0,0.0,0.0
"Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire.",0.095,0.782,0.122,0.2732
"They were here, and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained.",0.0,0.606,0.394,0.8555
They knew that presently dinner would be over and a little later the evening too would be over and casually put away.,0.0,0.922,0.078,0.1779
"It was sharply different from the West, where an evening was hurried from phase to phase towards its close, in a continually disappointed anticipation or else in sheer nervous dread of the moment itself.",0.212,0.751,0.036,-0.7783
"""You make me feel uncivilized, Daisy,"" I confessed on my second glass of corky but rather impressive claret.",0.0,0.782,0.218,0.6652
"""Can't you talk about crops or something?""",0.0,1.0,0.0,0.0
"I meant nothing in particular by this remark, but it was taken up in an unexpected way.",0.0,1.0,0.0,0.0
"""Civilization's going to pieces,"" broke out Tom violently.",0.524,0.476,0.0,-0.765
"""I've gotten to be a terrible pessimist about things.",0.483,0.517,0.0,-0.6808
"Have you read The Rise of the Coloured Empires by this man Goddard?""",0.0,1.0,0.0,0.0
"""Why, no,"" I answered, rather surprised by his tone.",0.0,0.787,0.213,0.2263
"""Well, it's a fine book, and everybody ought to read it.",0.0,0.833,0.167,0.2023
The idea is if we don't look out the white race will bewill be utterly submerged.,0.0,1.0,0.0,0.0
"It's all scientific stuff it's been proved.""",0.0,1.0,0.0,0.0
"""Tom's getting very profound,"" said Daisy, with an expression of unthoughtful sadness.",0.209,0.791,0.0,-0.4404
"""He reads deep books with long words in them.",0.0,1.0,0.0,0.0
"What was that word we"" ""Well, these books are all scientific,"" insisted Tom, glancing at her impatiently.",0.144,0.856,0.0,-0.4019
"""This fellow has worked out the whole thing.",0.0,1.0,0.0,0.0
"It's up to us, who are the dominant race, to watch out or these other races will have control of things.""",0.0,1.0,0.0,0.0
"""We've got to beat them down,"" whispered Daisy, winking ferociously toward the fervent sun.",0.13,0.741,0.13,0.0
"""You ought to live in California"" began Miss Baker, but Tom interrupted her by shifting heavily in his chair.",0.194,0.806,0.0,-0.4767
"""This idea is that we're Nordics.",0.0,1.0,0.0,0.0
"I am, and you are, and you are, and"" After an infinitesimal hesitation he included Daisy with a slight nod, and she winked at me again.",0.084,0.916,0.0,-0.2732
"""And we've produced all the things that go to make civilizationoh, science and art, and all that.",0.0,1.0,0.0,0.0
"Do you see?""",0.0,1.0,0.0,0.0
"There was something pathetic in his concentration, as if his complacency, more acute than of old, was not enough to him any more.",0.144,0.856,0.0,-0.5719
"When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned towards me.",0.102,0.898,0.0,-0.3612
"""I'll tell you a family secret,"" she whispered enthusiastically.",0.0,0.66,0.34,0.5574
"""It's about the butler's nose.",0.0,1.0,0.0,0.0
"Do you want to hear about the butler's nose?""",0.0,0.86,0.14,0.0772
"""That's why I came over tonight.""",0.0,1.0,0.0,0.0
"""Well, he wasn't always a butler he used to be the silver polisher for some people in New York that had a silver service for two hundred people.",0.0,1.0,0.0,0.0
"He had to polish it from morning till night, until finally it began to affect his nose"" ""Things went from bad to worse,"" suggested Miss Baker.",0.175,0.825,0.0,-0.6249
"""Yes.",0.0,1.0,0.0,0.0
"Things went from bad to worse, until finally he had to give up his position.""",0.337,0.663,0.0,-0.765
"For a moment the last sunshine fell with romantic affection upon her glowing face her voice compelled me forward breathlessly as I listenedthen the glow faded, each light deserting her with lingering regret, like children leaving a pleasant street at dusk.",0.056,0.619,0.325,0.91
"The butler came back and murmured something close to Tom's ear, whereupon Tom frowned, pushed back his chair, and without a word went inside.",0.0,1.0,0.0,0.0
"As if his absence quickened something within her, Daisy leaned forward again, her voice glowing and singing.",0.0,1.0,0.0,0.0
"""I love to see you at my table, Nick.",0.0,0.656,0.344,0.6369
"You remind me of aof a rose, an absolute rose.",0.0,1.0,0.0,0.0
"Doesn't he?""",0.0,1.0,0.0,0.0
"She turned to Miss Baker for confirmation ""An absolute rose?""",0.151,0.849,0.0,-0.1531
This was untrue.,0.0,1.0,0.0,0.0
I am not even faintly like a rose.,0.297,0.703,0.0,-0.2755
"She was only extemporizing, but a stirring warmth flowed from her, as if her heart was trying to come out to you concealed in one of those breathless, thrilling words.",0.0,0.768,0.232,0.8462
Then suddenly she threw her napkin on the table and excused herself and went into the house.,0.0,1.0,0.0,0.0
Miss Baker and I exchanged a short glance consciously devoid of meaning.,0.151,0.849,0.0,-0.1531
"I was about to speak when she sat up alertly and said ""Sh!""",0.0,1.0,0.0,0.0
in a warning voice.,0.545,0.455,0.0,-0.34
"A subdued impassioned murmur was audible in the room beyond, and Miss Baker leaned forward unashamed, trying to hear.",0.086,0.914,0.0,-0.1531
"The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether.",0.108,0.722,0.17,0.296
"""This Mr. Gatsby you spoke of is my neighbour"" I began.",0.0,1.0,0.0,0.0
"""Don't talk.",0.0,1.0,0.0,0.0
"I want to hear what happens.""",0.0,0.755,0.245,0.0772
"""Is something happening?""",0.0,1.0,0.0,0.0
I inquired innocently.,0.0,0.294,0.706,0.34
"""You mean to say you don't know?""",0.0,1.0,0.0,0.0
"said Miss Baker, honestly surprised.",0.188,0.235,0.576,0.5106
"""I thought everybody knew.""",0.0,1.0,0.0,0.0
"""I don't.""",0.0,1.0,0.0,0.0
"""Why"" she said hesitantly.",0.423,0.577,0.0,-0.296
"""Tom's got some woman in New York.""",0.0,1.0,0.0,0.0
"""Got some woman?""",0.0,1.0,0.0,0.0
I repeated blankly.,0.0,1.0,0.0,0.0
Miss Baker nodded.,0.444,0.556,0.0,-0.1531
"""She might have the decency not to telephone him at dinner time.",0.0,1.0,0.0,0.0
"Don't you think?""",0.0,1.0,0.0,0.0
"Almost before I had grasped her meaning there was the flutter of a dress and the crunch of leather boots, and Tom and Daisy were back at the table.",0.0,1.0,0.0,0.0
"""It couldn't be helped!""",0.0,1.0,0.0,0.0
cried Daisy with tense gaiety.,0.625,0.375,0.0,-0.6124
"She sat down, glanced searchingly at Miss Baker and then at me, and continued ""I looked outdoors for a minute, and it's very romantic outdoors.",0.06,0.827,0.113,0.3384
There's a bird on the lawn that I think must be a nightingale come over on the Cunard or White Star Line.,0.0,1.0,0.0,0.0
"He's singing away"" Her voice sang ""It's romantic, isn't it, Tom?""",0.0,0.787,0.213,0.4019
"""Very romantic,"" he said, and then miserably to me ""If it's light enough after dinner, I want to take you down to the stables.""",0.122,0.827,0.051,-0.4215
"The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air.",0.101,0.899,0.0,-0.1779
"Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at everyone, and yet to avoid all eyes.",0.142,0.858,0.0,-0.6486
"I couldn't guess what Daisy and Tom were thinking, but I doubt if even Miss Baker, who seemed to have mastered a certain hardy scepticism, was able utterly to put this fifth guest's shrill metallic urgency out of mind.",0.165,0.696,0.139,-0.0387
To a certain temperament the situation might have seemed intriguingmy own instinct was to telephone immediately for the police.,0.0,0.89,0.11,0.2732
"The horses, needless to say, were not mentioned again.",0.0,1.0,0.0,0.0
"Tom and Miss Baker, with several feet of twilight between them, strolled back into the library, as if to a vigil beside a perfectly tangible body, while, trying to look pleasantly interested and a little deaf, I followed Daisy around a chain of connecting verandas to the porch in front.",0.03,0.779,0.19,0.8555
In its deep gloom we sat down side by side on a wicker settee.,0.231,0.769,0.0,-0.5574
"Daisy took her face in her hands as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk.",0.0,0.798,0.202,0.6486
"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl.",0.0,1.0,0.0,0.0
"""We don't know each other very well, Nick,"" she said suddenly.",0.0,0.807,0.193,0.3384
"""Even if we are cousins.",0.0,1.0,0.0,0.0
"You didn't come to my wedding.""",0.0,1.0,0.0,0.0
"""I wasn't back from the war.""",0.0,1.0,0.0,0.0
"""That's true.""",0.0,1.0,0.0,0.0
She hesitated.,0.697,0.303,0.0,-0.3182
"""Well, I've had a very bad time, Nick, and I'm pretty cynical about everything.""",0.326,0.51,0.163,-0.4927
Evidently she had reason to be.,0.0,1.0,0.0,0.0
"I waited but she didn't say any more, and after a moment I returned rather feebly to the subject of her daughter.",0.0,1.0,0.0,0.0
"""I suppose she talks, andeats, and everything.""",0.0,1.0,0.0,0.0
"""Oh, yes.""",0.0,1.0,0.0,0.0
She looked at me absently.,0.0,1.0,0.0,0.0
"""Listen, Nick let me tell you what I said when she was born.",0.0,1.0,0.0,0.0
"Would you like to hear?""",0.0,0.615,0.385,0.3612
"""Very much.""",0.0,1.0,0.0,0.0
"""It'll show you how I've gotten to feel aboutthings.",0.0,1.0,0.0,0.0
"Well, she was less than an hour old and Tom was God knows where.",0.0,0.741,0.259,0.4939
"I woke up out of the ether with an utterly abandoned feeling, and asked the nurse right away if it was a boy or a girl.",0.126,0.805,0.068,-0.3642
"She told me it was a girl, and so I turned my head away and wept.",0.188,0.812,0.0,-0.4588
"'All right,' I said, 'I'm glad it's a girl.",0.0,0.667,0.333,0.4588
"And I hope she'll be a foolthat's the best thing a girl can be in this world, a beautiful little fool.'",0.0,0.56,0.44,0.9001
"""You see I think everything's terrible anyhow,"" she went on in a convinced way.",0.196,0.633,0.171,-0.1027
"""Everybody thinks sothe most advanced people.",0.0,0.686,0.314,0.3167
And I know.,0.0,1.0,0.0,0.0
